asin,title,author,stars,price,isKindleUnlimited,publishedDate,category_name
B00XSSQYRY,Untangled: Guiding Teenage Girls Through the Seven Transitions into Adulthood,Lisa Damour Ph.D.,4.7,14.99,False,2016-02-09,Parenting & Relationships
B0BYZMJGFJ,What About Men?: A Feminist Answers the Question,Caitlin Moran,4.2,14.99,False,2023-09-26,Parenting & Relationships
B0BQX3JNJM,The Holiday Home: A completely unputdownable and addictive psychological thriller,Daniel Hurst,3.9,3.99,True,2023-03-01,Parenting & Relationships
B0B4ZQ6XHJ,Drama Free: A Guide to Managing Unhealthy Family Relationships,Nedra Glover Tawwab,4.8,15.99,False,2023-02-28,Parenting & Relationships
B09Y1DG949,Unspeakable: Surviving My Childhood and Finding My Voice,Jessica Willis Fisher,4.8,14.99,False,2022-11-01,Parenting & Relationships
B07P1J7P71,The Pale-Faced Lie: A True Story,David Crow,4.5,5.99,True,2019-05-07,Parenting & Relationships
B005GFII62,Driven to Distraction (Revised): Recognizing and Coping with Attention Deficit Disorder,Edward M. Hallowell,4.7,14.99,False,2011-09-13,Parenting & Relationships
B005GG0MXI,How to Talk So Kids Will Listen & Listen So Kids Will Talk (The How To Talk Series),Adele Faber,4.7,13.99,False,,Parenting & Relationships
B01HZFB4WU,How Not to Hate Your Husband After Kids,Jancee Dunn,4.6,11.99,False,2017-03-21,Parenting & Relationships
B08TT9RMCY,The 36-Hour Day: A Family Guide to Caring for People Who Have Alzheimer Disease and Other Dementias (A Johns Hopkins Press Health Book),Nancy L. Mace,4.8,14.99,False,,Parenting & Relationships
B00JCS4NMC,No-Drama Discipline: The Whole-Brain Way to Calm the Chaos and Nurture Your Child's Developing Mind,Daniel J. Siegel,4.7,12.99,False,2014-09-23,Parenting & Relationships
B087F764ZX,The Match: A Romantic Comedy (It happened in Charleston Book 1),Sarah Adams,4.4,4.99,False,,Parenting & Relationships
B0BDYWJH1D,"Walking with Sam: A Father, a Son, and Five Hundred Miles Across Spain",Andrew McCarthy,4.6,14.99,False,2023-05-09,Parenting & Relationships
B073TVX3SX,The Unexpected Joy of Being Sober: THE SUNDAY TIMES BESTSELLER,Catherine Gray,4.7,6.99,False,2017-12-28,Parenting & Relationships
B01MSVMQR1,"The Boy Who Was Raised as a Dog: And Other Stories from a Child Psychiatrist's Notebook -- What Traumatized Children Can Teach Us About Loss, Love, and Healing",Bruce D Perry,4.8,13.99,False,2017-08-29,Parenting & Relationships
B0B5CFPLMC,"Look for Me There: Grieving My Father, Finding Myself",Luke Russert,4.5,14.99,False,2023-05-02,Parenting & Relationships
